"","pos","id","n","tumour","condition","group","missing"
"AZ100ADC3",1,"AZ100ADC3",1,"PC9","PC9Tx","Post-treatment",FALSE
"AZ10ADC1",2,"AZ10ADC1",1,"PC9","PC9Tx","Post-treatment",FALSE
"AZ10ADC2",3,"AZ10ADC2",1,"PC9","PC9","Untreated",FALSE
"AZ12ADC1",4,"AZ12ADC1",1,"PC9","PC9","Untreated",FALSE
"AZ12ADC2",5,"AZ12ADC2",1,"PC9","PC9Tx","Post-treatment",TRUE
"AZ14ADC2",6,"AZ14ADC2",1,"PC9","PC9Tx","Post-treatment",FALSE
"AZ15ADC2",7,"AZ15ADC2",1,"PC9","PC9","Untreated",FALSE
"AZ17ADC1",8,"AZ17ADC1",1,"PC9","PC9Tx","Post-treatment",FALSE
"AZ1ADC2",9,"AZ1ADC2",1,"PC9","PC9Tx","Post-treatment",FALSE
"AZ21ADC1",10,"AZ21ADC1",1,"PC9","PC9","Untreated",FALSE
"AZ22ADC1",11,"AZ22ADC1",1,"PC9","PC9","Untreated",FALSE
"AZ23ADC1",12,"AZ23ADC1",1,"PC9","PC9Tx","Post-treatment",FALSE
"AZ23ADC2",13,"AZ23ADC2",1,"PC9","PC9Tx","Post-treatment",TRUE
"AZ24ADC1",14,"AZ24ADC1",1,"PC9","PC9","Untreated",FALSE
"AZ2ADC2",15,"AZ2ADC2",1,"PC9","PC9","Untreated",FALSE
"AZ3ADC1",16,"AZ3ADC1",1,"PC9","PC9Tx","Post-treatment",FALSE
"AZ3ADC2",17,"AZ3ADC2",1,"PC9","PC9Tx","Post-treatment",FALSE
"AZ4ADC1",18,"AZ4ADC1",1,"PC9","PC9Tx","Post-treatment",TRUE
"AZ5ADC2",19,"AZ5ADC2",1,"PC9","PC9","Untreated",FALSE
"AZ6ADC2",20,"AZ6ADC2",1,"PC9","PC9","Untreated",FALSE
"AZ71ADC2",21,"AZ71ADC2",1,"PC9","PC9","Untreated",FALSE
"AZ72ADC2",22,"AZ72ADC2",1,"PC9","PC9Tx","Post-treatment",FALSE
"AZ73ADC2",23,"AZ73ADC2",1,"PC9","PC9","Untreated",FALSE
"AZ74ADC2",24,"AZ74ADC2",1,"PC9","PC9Tx","Post-treatment",FALSE
