"","pos","id","rodent","centre","tumour","slice_adc","pc_necrosis","total_cellularity","total_cellularity2","total_area","training.set","test.set","condition","group","n.adc","pi.adcgtpw","adc.mean","adc.median","adc.sd","adc.skewness","adc.kurtosis","adc.cutoff.N_BE","adc.cutoff.CT_GA","adc.cutoff.CT_NO","adc.cutoff.CV_GA","adc.cutoff.CV_NO","adc.cutoff.N_NO","adc.cutoffN","adc.cutoffCT","adc.cutoffCV","SHASH.mu","SHASH.sigma","SHASH.nu","SHASH.tau","missing","missing.A","missing.B","missing.C","missing.D","missing.E","missing.reason"
"AZ10ADC2|CH12043D_GP8_10_1_HE|1",1,"AZ10ADC2|CH12043D_GP8_10_1_HE|1","AZ10ADC2","AZ","PC9",5,8.0134,4873.6529,5141.3452,9.8882,TRUE,FALSE,"PC9","Untreated",65,0,0.000670447210835006,0.000690763408783823,0.000100171633988976,-0.877633079372722,3.83251276451849,-11.5129154649202,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,1e-04,1e-04,1e-04,0.000687111405914442,-9.91519685366749,-0.533408009538374,-0.21197489264924,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"AZ12ADC1|CH12043A_GP2_12_1_HE|1",2,"AZ12ADC1|CH12043A_GP2_12_1_HE|1","AZ12ADC1","AZ","PC9",8,57.1954,2785.4837,5354.2466,14.5437,TRUE,FALSE,"PC9","Untreated",116,0.0491803278688525,0.00141265517241379,0.0011935,0.000718383958417881,0.696645551740783,2.32489409330798,-0.172842812839411,-1.70906775338294,-1.61809597517721,-1.31960298662122,-1.31960298662122,-1.2272296664902,0.293103448275862,0.198275862068966,0.267241379310345,0.00115730193221268,-5.80726971354057,1.942289512217,0.890264054173213,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"AZ15ADC2|CH12043D_GP8_15_2_HE|1",3,"AZ15ADC2|CH12043D_GP8_15_2_HE|1","AZ15ADC2","AZ","PC9",6,17.2642,5156.0849,5715.1167,15.6551,TRUE,FALSE,"PC9","Untreated",165,0,0.000679902424242424,0.000682,7.96992823295374e-05,0.317302772280884,3.07945871697288,-11.5129154649202,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,1e-04,1e-04,1e-04,0.000675388789980055,-9.38820923857104,0.112401504239899,-0.0297681849802417,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"AZ21ADC1|CH12043B_GP4_21_1_HE|1",4,"AZ21ADC1|CH12043B_GP4_21_1_HE|1","AZ21ADC1","AZ","PC9",6,49.344,4387.7219,6664.0567,8.1206,TRUE,FALSE,"PC9","Untreated",60,0,0.00103775363240856,0.0010294861276634,0.000270264344302726,0.115525033129906,2.15565746638332,-1.49392502531226,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,1e-04,1e-04,1e-04,0.00102580632388505,-6.8744786229737,1.22496128700547,1.0883151012211,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"AZ22ADC1|CH12043A_GP2_22_1_HE|1",5,"AZ22ADC1|CH12043A_GP2_22_1_HE|1","AZ22ADC1","AZ","PC9",5,57.7149,3469.955,5540.5807,13.7192,TRUE,FALSE,"PC9","Untreated",191,0,0.000952884816753927,0.000799,0.000376754530486283,2.06386286793889,6.86219345809088,-1.76154569063156,-3.86597906692674,-3.64283551561253,-2.94968833505258,-2.94968833505258,-2.76736677825863,0.06282722513089,0.0261780104712042,0.0523560209424084,0.00080959806274229,-8.10661430602572,1.08364800499229,-0.454267880931879,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"AZ24ADC1|CH12043A_GP2_24_1_HE|1",6,"AZ24ADC1|CH12043A_GP2_24_1_HE|1","AZ24ADC1","AZ","PC9",7,65.3644,2392.2165,5494.337,10.2102,TRUE,FALSE,"PC9","Untreated",176,0,0.00118978579545455,0.001112,0.00040990162146885,0.441756412509574,2.18234875474372,-0.535142931416697,-4.47733681447821,-4.47733681447821,-2.60553463757662,-2.60553463757662,-2.12596155731473,0.119318181818182,0.0113636363636364,0.0738636363636364,0.00109494539893318,-6.00584366038875,1.99546280717727,1.32747144777304,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"AZ2ADC2|CH12043C_GP6_2_2_HE|1",7,"AZ2ADC2|CH12043C_GP6_2_2_HE|1","AZ2ADC2","AZ","PC9",2,45.825,4648.3499,6050.9193,13.0835,TRUE,FALSE,"PC9","Untreated",89,0,0.000879291011235955,0.0008316,0.00031090763925249,0.89296585367844,4.27298012567186,-2.3150076129926,-9.21034037197618,-9.21034037197618,-4.48863636973214,-4.48863636973214,-3.7954891891722,0.0224719101123595,1e-04,0.0112359550561798,0.000839503929760417,-8.77664511760157,-0.242651853874765,-0.51601990302939,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"AZ5ADC2|CH12043C_GP6_5_2_HE|1",8,"AZ5ADC2|CH12043C_GP6_5_2_HE|1","AZ5ADC2","AZ","PC9",5,20.6732,5369.5874,6007.3093,12.7632,TRUE,FALSE,"PC9","Untreated",127,0,0.000786167716535433,0.000779,0.000123083499133841,0.172994998437127,3.3074761815593,-11.5129154649202,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,1e-04,1e-04,1e-04,0.000780584089598703,-9.47967894728167,-0.2470013651395,-0.330645208489106,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"AZ6ADC2|CH12043D_GP8_6_2_HE|1",9,"AZ6ADC2|CH12043D_GP8_6_2_HE|1","AZ6ADC2","AZ","PC9",8,33.7659,4035.8389,4963.0313,9.1177,TRUE,FALSE,"PC9","Untreated",121,0,0.000948103563763846,0.000880354782566428,0.000235157828327164,0.990214253133736,3.48431060609128,-2.6479462770325,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,1e-04,1e-04,1e-04,0.000893438890284507,-8.15739330717355,0.601547380444087,-0.101349298112713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"AZ71ADC2|CH12043D_GP8_71_2_HE|1",10,"AZ71ADC2|CH12043D_GP8_71_2_HE|1","AZ71ADC2","AZ","PC9",6,55.6519,3636.4255,5359.585,8.6436,TRUE,FALSE,"PC9","Untreated",158,0,0.000875301898734177,0.0008884,0.000225679368822884,-0.00484163525715854,3.1678168714318,-3.42100000895834,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,1e-04,1e-04,1e-04,0.000877703622454123,-8.88872080040257,-0.304910770728502,-0.295682053094777,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"AZ73ADC2|CH12043C_GP6_73_1_HE|1",11,"AZ73ADC2|CH12043C_GP6_73_1_HE|1","AZ73ADC2","AZ","PC9",7,27.875,4493.549,5562.2594,16.7293,TRUE,FALSE,"PC9","Untreated",114,0,0.000961082699001977,0.000876725447596981,0.000305919859011862,2.59816946533806,11.1490597595425,-2.23683371543127,-3.63758615972639,-3.63758615972639,-3.3499040872746,-3.3499040872746,-3.3499040872746,0.0350877192982456,0.0263157894736842,0.0350877192982456,0.000880448122913784,-9.29012066996352,-0.144461728085868,-0.778163774992688,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"AZ77ADC3|CH12043F_GP12_77_1_HE|1",12,"AZ77ADC3|CH12043F_GP12_77_1_HE|1","AZ77ADC3","AZ","PC9",7,23.3717,5536.9817,5544.5129,5.9979,TRUE,FALSE,"PC9","Untreated",104,0,0.00105073269230769,0.0010215,0.000274879946060238,0.92709955253001,4.2414090848277,-1.63269477459837,-9.21034037197618,-9.21034037197618,-3.54577861047326,-3.54577861047326,-3.54577861047326,0.0288461538461538,1e-04,0.0288461538461538,0.001011547802641,-8.42386807612673,0.0831566837212848,-0.289097855789738,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"AZ78ADC3|CH12043F_GP12_78_1_HE|1",13,"AZ78ADC3|CH12043F_GP12_78_1_HE|1","AZ78ADC3","AZ","PC9",5,2.8676,5640.3491,5715.6543,13.8274,TRUE,FALSE,"PC9","Untreated",154,0,0.000731002597402597,0.00069275,0.000178134006965694,0.774220876742822,3.1554055075995,-11.5129154649202,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,1e-04,1e-04,1e-04,0.000700099069021964,-8.64879125241785,0.28205714737264,-0.189734917989686,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"AZ7ADC1|CH12043B_GP4_7_1_HE|1",14,"AZ7ADC1|CH12043B_GP4_7_1_HE|1","AZ7ADC1","AZ","PC9",8,51.589,3536.1712,6038.5924,13.3355,TRUE,FALSE,"PC9","Untreated",147,0,0.00101746598639456,0.0009376,0.000332361909422771,0.392330318129324,2.09427491858033,-1.20102729409618,-9.21034037197618,-9.21034037197618,-4.99043258677874,-4.99043258677874,-4.29728540621879,0.0136054421768708,1e-04,0.00680272108843538,0.00095479058889101,-6.25814723654121,1.8845095946464,1.3264819207038,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
